issue,number,result,timestamp,fetch_time_utc
20250718100010353,9,Big,,
20250718100010354,6,Big,,
20250718100010355,2,Small,,
20250718100010356,5,Big,,
20250718100010357,3,Small,,
20250718100010358,3,Small,,
20250718100010359,3,Small,,
20250718100010360,3,Small,,
20250718100010361,8,Big,,
20250718100010362,4,Small,,
20250718100010363,9,Big,,
20250718100010364,9,Big,,
20250718100010365,1,Small,,
20250718100010366,2,Small,,
20250718100010367,9,Big,,
20250718100010368,4,Small,,
20250718100010369,3,Small,,
20250718100010370,2,Small,,
20250718100010371,1,Small,,
20250718100010372,5,Big,,
20250718100010373,6,Big,,
20250718100010374,2,Small,,
20250718100010375,7,Big,,
20250718100010376,8,Big,,
20250718100010377,5,Big,,
20250718100010378,4,Small,,
20250718100010379,3,Small,,
20250718100010380,0,Small,,
20250718100010381,7,Big,,
20250718100010382,5,Big,,
20250718100010383,9,Big,,
20250718100010384,2,Small,,
20250718100010385,0,Small,,
20250718100010386,3,Small,,
20250718100010387,6,Big,,
20250718100010388,7,Big,,
20250718100010389,1,Small,,
20250718100010390,0,Small,,
20250718100010391,7,Big,,
20250718100010392,0,Small,,
20250718100010393,3,Small,,
20250718100010394,4,Small,,
20250718100010395,4,Small,,
20250718100010396,8,Big,,
20250718100010397,3,Small,,
20250718100010398,9,Big,,
20250718100010399,3,Small,,
20250718100010400,2,Small,,
20250718100010401,3,Small,,
20250718100010402,2,Small,,
20250718100010403,0,Small,,
20250718100010404,7,Big,,
20250718100010405,2,Small,,
20250718100010406,2,Small,,
20250718100010407,5,Big,,
20250718100010408,1,Small,,
20250718100010409,7,Big,,
20250718100010410,7,Big,,
20250718100010411,5,Big,,
20250718100010412,7,Big,,
20250718100010413,1,Small,,
20250718100010414,2,Small,,
20250718100010415,5,Big,,
20250718100010416,4,Small,,
20250718100010417,7,Big,,
20250718100010418,9,Big,,
20250718100010419,5,Big,,
20250718100010420,1,Small,,
20250718100010421,0,Small,,
20250718100010422,6,Big,,
20250718100010423,4,Small,,
20250718100010424,2,Small,,
20250718100010425,5,Big,,
20250718100010426,0,Small,,
20250718100010427,4,Small,,
20250718100010428,2,Small,,
20250718100010429,4,Small,,
20250718100010430,4,Small,,
20250718100010431,0,Small,,
20250718100010432,2,Small,,
20250718100010433,6,Big,,
20250718100010434,1,Small,,
20250718100010435,2,Small,,
20250718100010436,0,Small,,
20250718100010437,3,Small,,
20250718100010438,1,Small,,
20250718100010439,4,Small,,
20250718100010440,3,Small,,
20250718100010441,3,Small,,
20250718100010442,2,Small,,
20250718100010443,3,Small,,
20250718100010444,7,Big,,
20250718100010445,2,Small,,
20250718100010446,4,Small,,
20250718100010447,2,Small,,
20250718100010448,0,Small,,
20250718100010449,9,Big,,
20250718100010450,7,Big,,
20250718100010451,0,Small,,
20250718100010452,6,Big,,
20250718100010453,0,Small,,
20250718100010454,9,Big,,
20250718100010455,3,Small,,
20250718100010456,9,Big,,
20250718100010457,3,Small,,
20250718100010458,7,Big,,
20250718100010459,0,Small,,
20250718100010460,0,Small,,
20250718100010461,0,Small,,
20250718100010462,1,Small,,
20250718100010463,5,Big,,
20250718100010464,9,Big,,
20250718100010465,9,Big,,
20250718100010466,4,Small,,
20250718100010467,9,Big,,
20250718100010468,0,Small,,
20250718100010469,6,Big,,
20250718100010470,7,Big,,
20250718100010471,4,Small,,
20250718100010472,1,Small,,
20250718100010473,1,Small,,
20250718100010474,8,Big,,
20250718100010475,9,Big,,
20250718100010476,6,Big,,
20250718100010477,2,Small,,
20250718100010478,9,Big,,
20250718100010479,1,Small,,
20250718100010480,5,Big,,
20250718100010481,8,Big,,
20250718100010482,1,Small,,
20250718100010483,5,Big,,
20250718100010484,1,Small,,
20250718100010485,9,Big,,
20250718100010486,5,Big,,
20250718100010487,7,Big,,
20250718100010488,5,Big,,
20250718100010489,1,Small,,
20250718100010490,8,Big,,
20250718100010491,7,Big,,
20250718100010492,7,Big,,
20250718100010493,7,Big,,
20250718100010494,9,Big,,
20250718100010495,1,Small,,
20250718100010496,6,Big,,
20250718100010497,3,Small,,
20250718100010498,6,Big,,
20250718100010499,3,Small,,
20250718100010500,5,Big,,
20250718100010501,3,Small,,
20250718100010502,4,Small,,
20250718100010503,8,Big,,
20250718100010504,7,Big,,
20250718100010505,3,Small,,
20250718100010506,1,Small,,
20250718100010507,0,Small,,
20250718100010508,0,Small,,
20250718100010509,0,Small,,
20250718100010510,8,Big,,
20250718100010511,6,Big,,
20250718100010512,5,Big,,
20250718100010513,9,Big,,
20250718100010514,4,Small,,
20250718100010515,1,Small,,
20250718100010516,9,Big,,
20250718100010517,6,Big,,
20250718100010518,7,Big,,
20250718100010519,4,Small,,
20250718100010520,0,Small,,
20250718100010521,7,Big,,
20250718100010522,7,Big,,
20250718100010523,3,Small,,
20250718100010524,8,Big,,
20250718100010525,8,Big,,
20250718100010526,7,Big,,
20250718100010527,1,Small,,
20250718100010528,7,Big,,
20250718100010529,6,Big,,
20250718100010530,3,Small,,
20250718100010531,5,Big,,
20250718100010532,6,Big,,
20250718100010533,7,Big,,
20250718100010534,9,Big,,
20250718100010535,4,Small,,
20250718100010536,0,Small,,
20250718100010537,2,Small,,
20250718100010538,2,Small,,
20250718100010539,8,Big,,
20250718100010540,6,Big,,
20250718100010541,0,Small,,
20250718100010542,8,Big,,
20250718100010543,4,Small,,
20250718100010544,5,Big,,
20250718100010545,5,Big,,
20250718100010546,4,Small,,
20250718100010547,5,Big,,
20250718100010548,4,Small,,
20250718100010549,3,Small,,
20250718100010550,4,Small,,
20250718100010551,4,Small,,
20250718100010552,0,Small,,
20250718100010553,4,Small,,
20250718100010554,3,Small,,
20250718100010555,1,Small,,
20250718100010556,7,Big,,
20250718100010557,0,Small,,
20250718100010558,9,Big,,
20250718100010559,2,Small,,
20250718100010560,0,Small,,
20250718100010561,8,Big,,
20250718100010562,9,Big,,
20250718100010563,6,Big,,
20250718100010564,2,Small,,
20250718100010565,6,Big,,
20250718100010566,7,Big,,
20250718100010567,2,Small,,
20250718100010568,5,Big,,
20250718100010569,2,Small,,
20250718100010570,3,Small,,
20250718100010571,0,Small,,
20250718100010572,4,Small,,
20250718100010573,6,Big,,
20250718100010574,9,Big,,
20250718100010575,5,Big,,
20250718100010576,9,Big,,
20250718100010577,6,Big,,
20250718100010578,4,Small,,
20250718100010579,4,Small,,
20250718100010580,6,Big,,
20250718100010581,8,Big,,
20250718100010582,4,Small,,
20250718100010583,0,Small,,
20250718100010584,0,Small,,
20250718100010585,2,Small,,
20250718100010586,6,Big,,
20250718100010587,9,Big,,
20250718100010588,2,Small,,
20250718100010589,3,Small,,
20250718100010590,2,Small,,
20250718100010591,5,Big,,
20250718100010592,7,Big,,
20250718100010593,0,Small,,
20250718100010594,8,Big,,
20250718100010595,7,Big,,
20250718100010596,0,Small,,
20250718100010597,4,Small,,
20250718100010598,9,Big,,
20250718100010599,3,Small,,
20250718100010600,8,Big,,
20250718100010601,5,Big,,
20250718100010602,0,Small,,
20250718100010603,9,Big,,
20250718100010604,7,Big,,
20250718100010605,2,Small,,
20250718100010606,2,Small,,
20250718100010607,3,Small,,
20250718100010608,2,Small,,
20250718100010609,6,Big,,
20250718100010610,8,Big,,
20250718100010611,9,Big,,
20250718100010612,3,Small,,
20250718100010613,8,Big,,
20250718100010614,6,Big,,
20250718100010615,9,Big,,
20250718100010616,4,Small,,
20250718100010617,9,Big,,
20250718100010618,7,Big,,
20250718100010619,3,Small,,
20250718100010620,2,Small,,
20250718100010621,5,Big,,
20250718100010622,0,Small,,
20250718100010623,2,Small,,
20250718100010624,8,Big,,
20250718100010625,1,Small,,
20250718100010626,3,Small,,
20250718100010627,3,Small,,
20250718100010628,4,Small,,
20250718100010629,9,Big,,
20250718100010630,3,Small,,
20250718100010631,3,Small,,
20250718100010632,9,Big,,
20250718100010633,6,Big,,
20250718100010634,1,Small,,
20250718100010635,2,Small,,
20250718100010636,5,Big,,
20250718100010637,4,Small,,
20250718100010638,5,Big,,
20250718100010639,0,Small,,
20250718100010640,4,Small,,
20250718100010641,6,Big,,
20250718100010642,7,Big,,
20250718100010643,1,Small,,
20250718100010644,7,Big,,
20250718100010645,8,Big,,
20250718100010646,2,Small,,
20250718100010647,5,Big,,
20250718100010648,9,Big,,
20250718100010649,2,Small,,
20250718100010650,9,Big,,
20250718100010651,4,Small,,
20250718100010652,6,Big,,
20250718100010653,4,Small,,
20250718100010654,5,Big,,
20250718100010655,2,Small,,
20250718100010656,8,Big,,
20250718100010657,3,Small,,
20250718100010658,4,Small,,
20250718100010659,6,Big,,
20250718100010660,9,Big,,
20250718100010661,9,Big,,
20250718100010662,7,Big,,
20250718100010663,4,Small,,
20250718100010664,4,Small,,
20250718100010665,6,Big,,
20250718100010666,9,Big,,
20250718100010667,1,Small,,
20250718100010668,9,Big,,
20250718100010669,8,Big,,
20250718100010670,8,Big,,
20250718100010671,3,Small,,
20250718100010672,9,Big,,
20250718100010673,2,Small,,
20250718100010674,1,Small,,
20250718100010675,6,Big,,
20250718100010676,9,Big,,
20250718100010677,2,Small,,
20250718100010678,5,Big,,
20250718100010679,5,Big,,
20250718100010680,3,Small,,
20250718100010681,2,Small,,
20250718100010682,0,Small,,
20250718100010683,5,Big,,
20250718100010684,2,Small,,
20250718100010685,6,Big,,
20250718100010686,7,Big,,
20250718100010687,0,Small,,
20250718100010688,2,Small,,
20250718100010689,2,Small,,
20250718100010690,0,Small,,
20250718100010691,3,Small,,
20250718100010692,6,Big,,
20250718100010693,6,Big,,
20250718100010694,4,Small,,
20250718100010695,5,Big,,
20250718100010696,5,Big,,
20250718100010697,7,Big,,
20250718100010698,1,Small,,
20250718100010699,2,Small,,
20250718100010700,2,Small,,
20250718100010701,1,Small,,
20250718100010702,9,Big,,
20250718100010703,7,Big,,
20250718100010704,5,Big,,
20250718100010705,0,Small,,
20250718100010706,8,Big,,
20250718100010707,3,Small,,
20250718100010708,6,Big,,
20250718100010709,7,Big,,
20250718100010710,2,Small,,
20250718100010711,2,Small,,
20250718100010712,5,Big,,
20250718100010713,8,Big,,
20250718100010714,6,Big,,
20250718100010715,8,Big,,
20250718100010716,6,Big,,
20250718100010717,3,Small,,
20250718100010718,1,Small,,
20250718100010719,0,Small,,
20250718100010720,6,Big,,
20250718100010721,7,Big,,
20250718100010722,2,Small,,
20250718100010723,4,Small,,
20250718100010724,1,Small,,
20250718100010725,4,Small,,
20250718100010726,5,Big,,
20250718100010727,5,Big,,
20250718100010728,4,Small,,
20250718100010729,7,Big,,
20250718100010730,4,Small,,
20250718100010731,1,Small,,
20250718100010732,0,Small,,
20250718100010733,6,Big,,
20250718100010734,8,Big,,
20250718100010735,8,Big,,
20250718100010736,2,Small,,
20250718100010737,5,Big,,
20250718100010738,4,Small,,
20250718100010739,1,Small,,
20250718100010740,9,Big,,
20250718100010741,4,Small,,
20250718100010742,6,Big,,
20250718100010743,5,Big,,
20250718100010744,3,Small,,
20250718100010745,4,Small,,
20250718100010746,8,Big,,
20250718100010747,9,Big,,
20250718100010748,5,Big,,
20250718100010749,2,Small,,
20250718100010750,1,Small,,
20250718100010751,5,Big,,
20250718100010752,2,Small,,
20250718100010753,2,Small,,
20250718100010766,9,Big,,
20250718100010767,9,Big,,
20250718100010768,2,Small,,
20250718100010769,5,Big,,
20250718100010770,8,Big,,
20250718100010771,3,Small,,
20250718100010772,5,Big,,
20250718100010773,4,Small,,
20250718100010774,5,Big,,
20250718100010775,4,Small,,
20250718100010776,4,Small,,
20250718100010777,1,Small,,
20250718100010778,1,Small,,
20250718100010779,1,Small,,
20250718100010780,7,Big,,
20250718100010781,6,Big,,
20250718100010782,7,Big,,
20250718100010783,9,Big,,
20250718100010784,7,Big,,
20250718100010785,5,Big,,
20250718100010786,8,Big,,
20250718100010787,4,Small,,
20250718100010788,1,Small,,
20250718100010789,2,Small,,
20250718100010790,6,Big,,
20250718100010791,0,Small,,
20250718100010792,4,Small,,
20250718100010793,0,Small,,
20250718100010794,3,Small,,
20250718100010795,8,Big,,
20250718100010796,1,Small,,
20250718100010797,9,Big,,
20250718100010798,2,Small,,
20250718100010799,0,Small,,
20250718100010800,1,Small,,
20250718100010801,5,Big,,
20250718100010802,2,Small,,
20250718100010803,4,Small,,
20250718100010804,0,Small,,
20250718100010805,8,Big,,
20250718100010806,3,Small,,
20250718100010807,1,Small,,
20250718100010808,2,Small,,
20250718100010809,4,Small,,
20250718100010810,6,Big,,
20250718100010811,7,Big,,
20250718100010812,1,Small,,
20250718100010813,0,Small,,
20250718100010814,2,Small,,
20250718100010815,5,Big,,
20250718100010816,3,Small,,
20250718100010817,7,Big,,
20250718100010818,0,Small,,
20250718100010819,3,Small,,
20250718100010820,6,Big,,
20250718100010821,8,Big,,
20250718100010822,3,Small,,
20250718100010823,5,Big,,
20250718100010824,3,Small,,
20250718100010825,4,Small,,
20250718100010826,6,Big,,
20250718100010827,2,Small,,
20250718100010828,9,Big,,
20250718100010829,0,Small,,
20250718100010830,0,Small,,
20250718100010831,5,Big,,
20250718100010832,1,Small,,
20250718100010833,1,Small,,
20250718100010834,0,Small,,
20250718100010835,9,Big,,
20250718100010836,1,Small,,
20250718100010837,7,Big,,
20250718100010838,9,Big,,
20250718100010839,3,Small,,
20250718100010840,6,Big,,
20250718100010841,9,Big,,
20250718100010842,4,Small,,
20250718100010843,8,Big,,
20250718100010844,6,Big,,
20250718100010845,6,Big,,
20250718100010846,3,Small,,
20250718100010847,1,Small,,
20250718100010848,0,Small,,
20250718100010849,5,Big,,
20250718100010850,4,Small,,
20250718100010851,6,Big,,
20250718100010852,0,Small,,
20250718100010853,0,Small,,
20250718100010854,7,Big,,
20250718100010855,5,Big,,
20250718100010856,9,Big,,
20250718100010857,5,Big,,
20250718100010858,1,Small,,
20250718100010859,7,Big,,
20250718100010860,1,Small,,
20250718100010861,0,Small,,
20250718100010862,2,Small,,
20250718100010863,2,Small,,
20250718100010864,9,Big,,
20250718100010865,3,Small,,
20250718100010866,9,Big,,
20250718100010867,8,Big,,
20250718100010868,8,Big,,
20250718100010869,9,Big,,
20250718100010870,8,Big,,
20250718100010871,2,Small,,
20250718100010872,2,Small,,
20250718100010873,9,Big,,
20250718100010874,1,Small,,
20250718100010875,5,Big,,
20250718100010876,2,Small,,
20250718100010877,3,Small,,
20250718100010878,5,Big,,
20250718100010879,3,Small,,
20250718100010880,7,Big,,
20250718100010881,7,Big,,
20250718100010882,5,Big,,
20250718100010883,4,Small,,
20250718100010884,0,Small,,
20250718100010885,8,Big,,
20250718100010886,7,Big,,
20250718100010887,3,Small,,
20250718100010888,5,Big,,
20250718100010889,9,Big,,
20250718100010890,3,Small,,
20250718100010891,0,Small,,
20250718100010892,7,Big,,
20250718100010893,8,Big,,
20250718100010894,2,Small,,
20250718100010895,4,Small,,
20250718100010896,4,Small,,
20250718100010897,9,Big,,
20250718100010898,6,Big,,
20250718100010899,0,Small,,
20250718100010900,0,Small,,
20250718100010901,8,Big,,
20250718100010902,1,Small,,
20250718100010903,0,Small,,
20250718100010904,5,Big,,
20250718100010905,0,Small,,
20250718100010906,3,Small,,
20250718100010907,3,Small,,
20250718100010908,9,Big,,
20250718100010909,5,Big,,
20250718100010910,8,Big,,
20250718100010911,9,Big,,
20250718100010912,5,Big,,
20250718100010913,7,Big,,
20250718100010914,2,Small,,
20250718100010915,7,Big,,
20250718100010916,1,Small,,
20250718100010917,6,Big,,
20250718100010918,2,Small,,
20250718100010919,3,Small,,
20250718100010920,2,Small,,
20250718100010921,7,Big,,
20250718100010922,6,Big,,
20250718100010923,3,Small,,
20250718100010924,5,Big,,
20250718100010925,0,Small,,
20250718100010926,4,Small,,
20250718100010927,8,Big,,
20250718100010928,3,Small,,
20250718100010929,4,Small,,
20250718100010930,2,Small,,
20250718100010931,4,Small,,
20250718100010932,8,Big,,
20250718100010933,7,Big,,
20250718100010934,3,Small,,
20250718100010935,3,Small,,
20250718100010936,8,Big,,
20250718100010937,2,Small,,
20250718100010938,5,Big,,
20250718100010939,9,Big,,
20250718100010940,6,Big,,
20250718100010941,7,Big,,
20250718100010942,4,Small,,
20250718100010943,9,Big,,
20250718100010944,6,Big,,
20250718100010945,2,Small,,
20250718100010946,3,Small,,
20250718100010947,0,Small,,
20250718100010948,3,Small,,
20250718100010949,2,Small,,
20250718100010950,6,Big,,
20250718100010951,9,Big,,
20250718100010952,6,Big,,
20250718100010953,5,Big,,
20250718100010954,2,Small,,
20250718100010955,4,Small,,
20250718100010956,7,Big,,
20250718100010957,4,Small,,
20250718100010958,9,Big,,
20250718100010959,8,Big,,
20250718100010960,4,Small,,
20250718100010961,8,Big,,
20250718100010962,1,Small,,
20250718100010963,7,Big,,
20250718100010964,3,Small,,
20250718100010965,5,Big,,
20250718100010966,2,Small,,
20250718100010967,7,Big,,
20250718100010968,0,Small,,
20250718100010969,2,Small,,
20250718100010970,2,Small,,
20250718100010971,1,Small,,
20250718100010972,8,Big,,
20250718100010973,3,Small,,
20250718100010974,9,Big,,
20250718100010975,8,Big,,
20250718100010976,3,Small,,
20250718100010977,2,Small,,
20250718100010978,4,Small,,
20250718100010979,3,Small,,
20250718100010980,8,Big,,
20250718100010981,8,Big,,
20250718100010982,0,Small,,
20250718100010983,8,Big,,
20250718100010984,7,Big,,
20250718100010985,4,Small,,
20250718100010986,0,Small,,
20250718100010987,8,Big,,
20250718100010988,6,Big,,
20250718100010989,0,Small,,
20250718100010990,3,Small,,
20250718100010991,2,Small,,
20250718100010992,5,Big,,
20250718100010993,0,Small,,
20250718100010994,2,Small,,
20250718100010995,0,Small,,
20250718100010996,7,Big,,
20250718100010997,8,Big,,
20250718100010998,7,Big,,
20250718100010999,5,Big,,
20250718100011000,0,Small,,
20250718100011001,1,Small,,
20250718100011002,9,Big,,
20250718100011003,6,Big,,
20250718100011004,5,Big,,
20250718100011005,3,Small,,
20250718100011006,8,Big,,
20250718100011007,5,Big,,
20250718100011008,3,Small,,
20250718100011009,0,Small,,
20250718100011010,3,Small,,
20250718100011011,0,Small,,
20250718100011012,9,Big,,
20250718100011013,0,Small,,
20250718100011014,4,Small,,
20250718100011015,5,Big,,
20250718100011016,5,Big,,
20250718100011017,6,Big,,
20250718100011018,4,Small,,
20250718100011019,1,Small,,
20250718100011020,6,Big,,
20250718100011021,1,Small,,
20250718100011022,5,Big,,
20250718100011023,7,Big,,
20250718100011024,1,Small,,
20250718100011025,2,Small,,
20250718100011026,8,Big,,
20250718100011027,1,Small,,
20250718100011028,7,Big,,
20250718100011029,9,Big,,
20250718100011030,7,Big,,
20250718100011031,0,Small,,
20250718100011032,1,Small,,
20250718100011033,0,Small,,
20250718100011034,0,Small,,
20250718100011035,8,Big,,
20250718100011036,3,Small,,
20250718100011037,4,Small,,
20250718100011038,0,Small,,
20250718100011039,3,Small,,
20250718100011040,8,Big,,
20250718100011041,7,Big,,
20250718100011042,9,Big,,
20250718100011043,0,Small,,
20250718100011044,3,Small,,
20250718100011045,3,Small,,
20250718100011046,8,Big,,
20250718100011047,0,Small,,
20250718100011048,9,Big,,
20250718100011049,2,Small,,
20250718100011050,3,Small,,
20250718100011051,1,Small,,
20250718100011052,1,Small,,
20250718100011053,1,Small,,
20250718100011054,3,Small,,
20250718100011055,9,Big,,
20250718100011056,7,Big,,
20250718100011057,2,Small,,
20250718100011058,2,Small,,
20250718100011059,6,Big,,
20250718100011060,9,Big,,
20250718100011061,8,Big,,
20250718100011062,9,Big,,
20250718100011063,8,Big,,
20250718100011064,3,Small,,
20250718100011065,1,Small,,
20250718100011066,2,Small,,
20250718100011067,2,Small,,
20250718100011068,1,Small,,
20250718100011069,2,Small,,
20250718100011070,4,Small,,
20250718100011071,8,Big,,
20250718100011072,6,Big,,
20250718100011073,4,Small,,
20250718100011074,6,Big,,
20250718100011075,7,Big,,
20250718100011076,7,Big,,
20250718100011077,4,Small,,
20250718100011078,9,Big,,
20250718100011079,2,Small,,
20250718100011080,7,Big,,
20250718100011081,7,Big,,
20250718100011082,9,Big,,
20250718100011083,6,Big,,
20250718100011084,4,Small,,
20250718100011085,9,Big,,
20250718100011086,6,Big,,
20250718100011087,3,Small,,
20250718100011088,6,Big,,
20250718100011089,3,Small,,
20250718100011090,7,Big,,
20250718100011091,3,Small,,
20250718100011092,7,Big,,
20250718100011093,0,Small,,
20250718100011094,3,Small,,
20250718100011095,5,Big,,
20250718100011096,5,Big,,
20250718100011097,6,Big,,
20250718100011098,4,Small,,
20250718100011099,9,Big,,
20250718100011100,2,Small,,
20250718100011101,9,Big,,
20250718100011102,4,Small,,
20250718100011103,6,Big,,
20250718100011104,9,Big,,
20250718100011105,4,Small,,
20250718100011106,5,Big,,
20250718100011107,1,Small,,
20250718100011108,9,Big,,
20250718100011109,6,Big,,
20250718100011110,9,Big,,
20250718100011111,3,Small,,
20250718100011112,3,Small,,
20250718100011113,3,Small,,
20250718100011114,9,Big,,
20250718100011115,9,Big,,
20250718100011116,5,Big,,
20250718100011117,6,Big,,
20250718100011118,6,Big,,
20250718100011119,9,Big,,
20250718100011120,4,Small,,
20250718100011121,5,Big,,
20250718100011122,8,Big,,
20250718100011123,8,Big,,
20250718100011124,4,Small,,
20250718100011125,5,Big,,
20250718100011126,7,Big,,
20250718100011127,9,Big,,
20250718100011128,0,Small,,
20250718100011129,4,Small,,
20250718100011130,5,Big,,
20250718100011131,5,Big,,
20250718100011132,6,Big,,
20250718100011133,0,Small,,
20250718100011134,9,Big,,
20250718100011135,2,Small,,
20250718100011136,8,Big,,
20250718100011137,8,Big,,
20250718100011138,5,Big,,
20250718100011139,1,Small,,
20250718100011140,3,Small,,
20250718100011141,5,Big,,
20250718100011142,8,Big,,
20250718100011143,5,Big,,
20250718100011144,8,Big,,
20250718100011145,8,Big,,
20250718100011146,7,Big,,
20250718100011147,8,Big,,
20250718100011148,4,Small,,
20250718100011149,5,Big,,
20250718100011150,7,Big,,
20250718100011151,1,Small,,
20250718100011152,7,Big,,
20250718100011153,0,Small,,
20250718100011154,0,Small,,
20250718100011155,0,Small,,
20250718100011156,8,Big,,
20250718100011157,3,Small,,
20250718100011158,1,Small,,
20250718100011159,8,Big,,
20250718100011160,5,Big,,
20250718100011161,6,Big,,
20250718100011162,6,Big,,
20250718100011163,7,Big,,
20250718100011164,3,Small,,
20250718100011165,8,Big,,
20250718100011166,0,Small,,
20250718100011167,2,Small,,
20250718100011168,7,Big,,
20250718100011169,7,Big,,
20250718100011170,1,Small,,
20250718100011171,2,Small,,
20250718100011172,2,Small,,
20250718100011173,1,Small,,
20250718100011174,3,Small,,
20250718100011175,1,Small,,
20250718100011176,1,Small,,
20250718100011177,7,Big,,
20250718100011178,9,Big,,
20250718100011179,3,Small,,
20250718100011180,6,Big,,
20250718100011181,7,Big,,
20250718100011182,5,Big,,
20250718100011183,8,Big,,
20250718100011184,3,Small,,
20250718100011185,2,Small,,
20250718100011186,9,Big,,
20250718100011187,6,Big,,
20250718100011188,8,Big,,
20250718100011189,2,Small,,
20250718100011190,2,Small,,
20250718100011191,8,Big,,
20250718100011192,8,Big,,
20250718100011193,2,Small,,
20250718100011194,5,Big,,
20250718100011195,3,Small,,
20250718100011196,1,Small,,
20250718100011197,9,Big,,
20250718100011198,8,Big,,
20250718100011199,7,Big,,
20250718100011200,3,Small,,
20250718100011201,3,Small,,
20250718100011202,7,Big,,
20250718100011203,7,Big,,
20250718100011204,2,Small,,
20250718100011205,7,Big,,
20250718100011206,1,Small,,
20250718100011207,4,Small,,
20250718100011208,7,Big,,
20250718100011209,5,Big,,
20250718100011210,1,Small,,
20250718100011211,4,Small,,
20250718100011212,9,Big,,
20250718100011213,7,Big,,
20250718100011214,5,Big,,
20250718100011215,1,Small,,
20250718100011216,0,Small,,
20250718100011217,3,Small,,
20250718100011218,9,Big,,
20250718100011219,9,Big,,
20250718100011220,1,Small,,
20250718100011221,7,Big,,
20250718100011222,7,Big,,
20250718100011223,5,Big,,
20250718100011224,4,Small,,
